DATE,PCE
1/1/1959,1
2/1/1959,1.011434172
3/1/1959,1.021561581
4/1/1959,1.019928128
5/1/1959,1.032669062
6/1/1959,1.039529566
7/1/1959,1.038222803
8/1/1959,1.046063378
9/1/1959,1.059131003
10/1/1959,1.054557334
11/1/1959,1.054884025
12/1/1959,1.054884025
1/1/1960,1.057170859
2/1/1960,1.0627246
3/1/1960,1.07873244
4/1/1960,1.09931395
5/1/1960,1.078079059
6/1/1960,1.07840575
7/1/1960,1.082652728
8/1/1960,1.083306109
9/1/1960,1.08918654
10/1/1960,1.095720353
11/1/1960,1.095720353
12/1/1960,1.082326037
1/1/1961,1.085266253
2/1/1961,1.090166612
3/1/1961,1.103234237
4/1/1961,1.102907547
5/1/1961,1.110421431
6/1/1961,1.113688337
7/1/1961,1.112708265
8/1/1961,1.117608625
9/1/1961,1.125122509
10/1/1961,1.131983012
11/1/1961,1.143090493
12/1/1961,1.151257759
1/1/1962,1.153871284
2/1/1962,1.156484809
3/1/1962,1.16759229
4/1/1962,1.17281934
5/1/1962,1.182620059
6/1/1962,1.177393009
7/1/1962,1.180659915
8/1/1962,1.185560274
9/1/1962,1.204835021
10/1/1962,1.197321137
11/1/1962,1.214309049
12/1/1962,1.220516171
1/1/1963,1.223129696
2/1/1963,1.21986279
3/1/1963,1.22508984
4/1/1963,1.229663509
5/1/1963,1.232277034
6/1/1963,1.246978112
7/1/1963,1.255798759
8/1/1963,1.26200588
9/1/1963,1.259392355
10/1/1963,1.261025809
11/1/1963,1.27213329
12/1/1963,1.289447893
1/1/1964,1.296308396
2/1/1964,1.307415877
3/1/1964,1.312642927
4/1/1964,1.315909833
5/1/1964,1.334204508
6/1/1964,1.344005227
7/1/1964,1.355439399
8/1/1964,1.364586736
9/1/1964,1.360993139
10/1/1964,1.370793858
11/1/1964,1.360339758
12/1/1964,1.375367527
1/1/1965,1.386475008
2/1/1965,1.409343352
3/1/1965,1.415550474
4/1/1965,1.427964717
5/1/1965,1.429598171
6/1/1965,1.421757596
7/1/1965,1.440705652
8/1/1965,1.451813133
9/1/1965,1.47664162
10/1/1965,1.497876511
11/1/1965,1.499836655
12/1/1965,1.508330611
1/1/1966,1.519764783
2/1/1966,1.536099314
3/1/1966,1.551780464
4/1/1966,1.557987586
5/1/1966,1.545573342
6/1/1966,1.553413917
7/1/1966,1.570075139
8/1/1966,1.578569095
9/1/1966,1.598170533
10/1/1966,1.595230317
11/1/1966,1.601110748
12/1/1966,1.606664489
1/1/1967,1.614505064
2/1/1967,1.610584776
3/1/1967,1.619732114
4/1/1967,1.637700098
5/1/1967,1.640640314
6/1/1967,1.655668082
7/1/1967,1.655341392
8/1/1967,1.665468801
9/1/1967,1.684416857
10/1/1967,1.673309376
11/1/1967,1.690297288
12/1/1967,1.715452467
1/1/1968,1.734400523
2/1/1968,1.74322117
3/1/1968,1.778177066
4/1/1968,1.777196994
5/1/1968,1.796145051
6/1/1968,1.817379941
7/1/1968,1.839921594
8/1/1968,1.852335838
9/1/1968,1.856256125
10/1/1968,1.867363607
11/1/1968,1.884024828
12/1/1968,1.883371447
1/1/1969,1.906239791
2/1/1969,1.923227703
3/1/1969,1.923881085
4/1/1969,1.940215616
5/1/1969,1.961123816
6/1/1969,1.963083959
7/1/1969,1.968964391
8/1/1969,1.992486116
9/1/1969,2.003266906
10/1/1969,2.020581509
11/1/1969,2.027115322
12/1/1969,2.034629206
1/1/1970,2.053903953
2/1/1970,2.071218556
3/1/1970,2.065664815
4/1/1970,2.077752369
5/1/1970,2.098660568
6/1/1970,2.111401503
7/1/1970,2.118588697
8/1/1970,2.132963084
9/1/1970,2.153217903
10/1/1970,2.150604378
11/1/1970,2.145050637
12/1/1970,2.174452793
1/1/1971,2.208755309
2/1/1971,2.219536099
3/1/1971,2.228030056
4/1/1971,2.250245018
5/1/1971,2.257758902
6/1/1971,2.286180987
7/1/1971,2.283240771
8/1/1971,2.302842208
9/1/1971,2.329304149
10/1/1971,2.338451486
11/1/1971,2.355112708
12/1/1971,2.379614505
1/1/1972,2.389741914
2/1/1972,2.405096374
3/1/1972,2.447566155
4/1/1972,2.458346945
5/1/1972,2.47631493
6/1/1972,2.488075792
7/1/1972,2.515191114
8/1/1972,2.536099314
9/1/1972,2.551780464
10/1/1972,2.59686377
11/1/1972,2.615158445
12/1/1972,2.63345312
1/1/1973,2.667428945
2/1/1973,2.697811173
3/1/1973,2.720679516
4/1/1973,2.730153545
5/1/1973,2.749428291
6/1/1973,2.758248938
7/1/1973,2.790264619
8/1/1973,2.787651094
9/1/1973,2.839594904
10/1/1973,2.836327997
11/1/1973,2.864750082
12/1/1973,2.86377001
1/1/1974,2.889578569
2/1/1974,2.906566482
3/1/1974,2.944789285
4/1/1974,2.975498203
5/1/1974,3.013394316
6/1/1974,3.031688991
7/1/1974,3.064031362
8/1/1974,3.119242078
9/1/1974,3.12022215
10/1/1974,3.133616465
11/1/1974,3.123815746
12/1/1974,3.142110421
1/1/1975,3.187193728
2/1/1975,3.232277034
3/1/1975,3.236197321
4/1/1975,3.250571709
5/1/1975,3.328650768
6/1/1975,3.354459327
7/1/1975,3.396929108
8/1/1975,3.420450833
9/1/1975,3.445932702
10/1/1975,3.46586083
11/1/1975,3.514537733
12/1/1975,3.567788304
1/1/1976,3.616791898
2/1/1976,3.618752042
3/1/1976,3.642273767
4/1/1976,3.676576282
5/1/1976,3.667755635
6/1/1976,3.725906566
7/1/1976,3.755635413
8/1/1976,3.783077426
9/1/1976,3.818360013
10/1/1976,3.844495263
11/1/1976,3.884351519
12/1/1976,3.95785691
1/1/1977,3.969291081
2/1/1977,4.022541653
3/1/1977,4.045409997
4/1/1977,4.074812153
5/1/1977,4.106827834
6/1/1977,4.128062725
7/1/1977,4.18327344
8/1/1977,4.200261352
9/1/1977,4.229010127
10/1/1977,4.284220843
11/1/1977,4.33518458
12/1/1977,4.364586736
1/1/1978,4.343351846
2/1/1978,4.426984646
